[ 2021-03-14 15:19:15,546 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:19:26,534 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/store//home/banner_cunninghyaena.png - server replied: Not Found
[ 2021-03-14 15:19:26,534 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/store//home/banner_jousters.png - server replied: Not Found
[ 2021-03-14 15:19:48,776 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/store//home/banner_jousters.png - server replied: Not Found
[ 2021-03-14 15:19:48,776 ] qrc:/qml/StoreMainPage.qml:76:9: QML Image: Error transferring http://127.0.0.1/store//home/banner_cunninghyaena.png - server replied: Not Found
[ 2021-03-14 15:24:38,368 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 15:29:53,282 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 15:29:53,390 ] Disconnected from gameserver
[ 2021-03-14 16:16:14,975 ] Asset loading complete
[ 2021-03-14 16:16:19,323 ] News query failed: "Unrecognized event news."
[ 2021-03-14 16:16:21,689 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 16:16:21,714 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 16:16:21,731 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 16:16:22,740 ] News query failed: "Unrecognized event news."
[ 2021-03-14 16:33:49,641 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 16:33:49,746 ] Disconnected from gameserver
[ 2021-03-14 18:21:36,221 ] Asset loading complete
[ 2021-03-14 18:22:01,221 ] News query failed: "Unrecognized event news."
